Ano,Distrito,Incêndios florestais(Ocorrencias),Fogachos(Ocorrencias),Total(Ocorrencias),Reacendimentos,Povoamentos(Area Ardida),Matos(Area Ardida),Total Florestal(Area Ardida)
2010,Coimbra,70,482,552,70,957,529,1486
2010,Évora,31,49,80,13,317,155,472
2010,Faro,24,303,327,0,27,77,104
2010,Guarda,286,378,664,43,8281,17455,25736
2010,Leiria,38,380,418,43,422,825,1247
2010,Lisboa,189,1315,1504,3,58,766,824
2010,Portalegre,20,40,60,3,192,26,218
2010,Porto,563,5444,6007,604,3419,5133,8552
2010,Santarém,61,285,346,10,806,393,1199
2010,Setúbal,66,632,698,9,1756,507,2263
2010,Viana do Castelo,736,1368,2104,860,6409,17837,24246
2010,Vila Real,413,930,1343,188,6599,11867,18466
2010,Viseu,462,1697,2159,426,5307,14024,19331
2010,Portugal,3970,18056,22026,2746,46079,87012,133091
2011,Aveiro,178,2284,2462,1077,2096,579,2675
2011,Beja,22,31,53,7,163,58,221
2011,Braga,771,2340,3111,572,2548,4962,7510
2011,Bragança,481,527,1008,35,1081,10056,11137
2011,Castelo Branco,60,297,357,6,1346,1810,3156
2011,Coimbra,67,648,715,31,443,145,588
2011,Évora,13,17,30,0,490,0,490
2011,Faro,51,343,394,2,19,100,119
2011,Guarda,361,382,743,39,1724,9832,11556
2011,Leiria,86,571,657,68,902,1221,2123
2011,Lisboa,269,1213,1482,10,190,1207,1397
2011,Portalegre,16,45,61,1,89,75,164
2011,Porto,665,5828,6493,912,2113,2657,4770
2011,Santarém,56,430,486,14,240,185,425
2011,Setúbal,44,561,605,10,100,111,211
2011,Viana do Castelo,552,1609,2161,538,2304,3302,5606
2011,Vila Real,851,1214,2065,177,2454,11809,14263
2011,Viseu,499,1839,2338,237,1741,5661,7402
2011,Portugal,5042,20179,25221,3736,20043,53770,73813
2012,Aveiro,182,1668,1850,448,2328,363,2691
2012,Beja,19,42,61,0,721,74,795
2012,Braga,563,1540,2103,283,4315,4616,8931
2012,Bragança,515,487,1002,1,2641,12183,14824
2012,Castelo Branco,71,387,458,6,1233,785,2018
2012,Coimbra,109,737,846,32,4545,1104,5649
2012,Évora,19,28,47,0,338,3,341
2012,Faro,50,482,532,3,6360,15823,22183
2012,Guarda,365,314,679,11,5128,5091,10219
2012,Leiria,118,656,774,59,1734,761,2495
2012,Lisboa,264,1086,1350,17,601,1137,1738
2012,Portalegre,22,66,88,1,1157,20,1177
2012,Porto,462,4550,5012,340,1879,1785,3664
2012,Santarém,93,516,609,2,4903,2901,7804
2012,Setúbal,33,607,640,4,207,154,361
2012,Viana do Castelo,343,809,1152,144,796,2121,2917
2012,Vila Real,694,1109,1803,165,2743,4237,6980
